default		00:00:16.390	16.39	00:00:18.030	18.03	00:00:01.640	1.64	
default		00:00:18.650	18.65	00:00:19.510	19.51	00:00:00.860	0.86	
default		00:00:20.290	20.29	00:00:21.200	21.2	00:00:00.910	0.91	
default		00:00:30.215	30.215	00:00:32.675	32.675	00:00:02.460	2.46	
default		00:00:41.285	41.285	00:00:43.265	43.265	00:00:01.980	1.98	
default		00:00:53.285	53.285	00:00:54.585	54.585	00:00:01.300	1.3	
default		00:01:21.385	81.385	00:01:21.865	81.865	00:00:00.480	0.48	
default		00:01:27.005	87.005	00:01:27.765	87.765	00:00:00.760	0.76	
default		00:01:30.265	90.265	00:01:30.655	90.655	00:00:00.390	0.39	
default		00:01:50.560	110.56	00:01:50.810	110.81	00:00:00.250	0.25	
default		00:01:55.855	115.855	00:01:57.095	117.095	00:00:01.240	1.24	
default		00:01:58.465	118.465	00:02:00.015	120.015	00:00:01.550	1.55	
