default		00:00:04.420	4.42	00:00:06.290	6.29	00:00:01.870	1.87	
default		00:00:08.460	8.46	00:00:14.570	14.57	00:00:06.110	6.11	
default		00:00:17.590	17.59	00:00:19.860	19.86	00:00:02.270	2.27	
default		00:00:21.455	21.455	00:00:24.025	24.025	00:00:02.570	2.57	
default		00:00:25.510	25.51	00:00:38.370	38.37	00:00:12.860	12.86	
default		00:00:43.190	43.19	00:00:45.160	45.16	00:00:01.970	1.97	
default		00:00:48.045	48.045	00:01:04.215	64.215	00:00:16.170	16.17	
default		00:01:08.710	68.71	00:01:09.720	69.72	00:00:01.010	1.01	
default		00:01:11.745	71.745	00:01:24.225	84.225	00:00:12.480	12.48	
default		00:01:28.105	88.105	00:01:39.815	99.815	00:00:11.710	11.71	
default		00:01:42.040	102.04	00:01:47.800	107.8	00:00:05.760	5.76	
default		00:01:57.090	117.09	00:01:59.990	119.99	00:00:02.900	2.9	
