default		00:00:26.030	26.03	00:00:26.800	26.8	00:00:00.770	0.77	
default		00:00:27.610	27.61	00:00:28.660	28.66	00:00:01.050	1.05	
default		00:00:30.620	30.62	00:00:30.980	30.98	00:00:00.360	0.36	
default		00:00:40.780	40.78	00:00:41.580	41.58	00:00:00.800	0.8	
default		00:00:51.570	51.57	00:00:52.360	52.36	00:00:00.790	0.79	
default		00:00:58.760	58.76	00:00:59.410	59.41	00:00:00.650	0.65	
default		00:01:20.750	80.75	00:01:24.100	84.1	00:00:03.350	3.35	
default		00:01:30.390	90.39	00:01:32.870	92.87	00:00:02.480	2.48	
default		00:01:48.890	108.89	00:01:49.930	109.93	00:00:01.040	1.04	
default		00:01:52.840	112.84	00:01:53.420	113.42	00:00:00.580	0.58	
default		00:01:57.790	117.79	00:02:00.290	120.29	00:00:02.500	2.5	
